행정구역별(시군구),1인가구,,,,,,,,,,,,,,,,,,,남자,,,,,,,,,,,,,,,,여자,,,,,,,,,,,,,,,
,전체_남녀,미성년_남녀,20~24,25~29,30~34,청년_남녀,35~39,40~44,45~49,50~54,55~59,60~64,장년_남녀,65~69,70~74,75~79,80~84,85세 이상,노년_남녀,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
부산광역시 > 중구,10007,42,660,1239,734,2633,532,475,681,722,866,1085,4361,934,778,609,404,246,,4716,14,203,607,435,321,295,439,439,457,549,400,272,146,87,52,5291,28,457,632,299,211,180,242,283,409,536,534,506,463,317,194
부산광역시 > 서구,18384,202,1889,1870,987,4746,774,751,934,1147,1579,1898,7083,1829,1600,1358,978,588,,7997,55,654,873,566,468,447,599,693,925,900,704,506,305,195,107,10387,147,1235,997,421,306,304,335,454,654,998,1125,1094,1053,783,481
부산광역시 > 동구,15508,40,463,1350,1096,2909,901,746,1029,1131,1331,1727,6865,1549,1377,1247,954,567,,7064,19,155,616,663,529,483,678,724,789,845,637,414,267,150,95,8444,21,308,734,433,372,263,351,407,542,882,912,963,980,804,472
부산광역시 > 영도구,19073,582,2068,905,541,3514,619,688,989,1277,1683,2242,7498,2083,1919,1696,1177,604,,9489,429,1483,638,363,407,451,657,853,981,1108,831,570,386,212,120,9584,153,585,267,178,212,237,332,424,702,1134,1252,1349,1310,965,484
부산광역시 > 부산진구,58924,741,6049,8557,5660,20266,3906,3107,3281,3554,4020,5104,22972,4379,3659,3199,2384,1324,,25431,284,2056,3979,3063,2180,1748,1823,2089,2050,2112,1658,1022,648,456,263,33493,457,3993,4578,2597,1726,1359,1458,1465,1970,2992,2721,2637,2551,1928,1061
부산광역시 > 동래구,29008,83,1095,2601,2310,6006,2019,1742,1939,2149,2464,3323,13636,2948,2251,1960,1289,835,,12435,33,376,1326,1335,1166,1038,1095,1186,1156,1285,991,611,420,270,147,16573,50,719,1275,975,853,704,844,963,1308,2038,1957,1640,1540,1019,688
부산광역시 > 남구,34934,763,5221,3932,2147,11300,1776,1643,2008,2039,2383,3142,12991,2782,2477,2250,1509,862,,15628,305,2288,2345,1332,1131,1001,1188,1159,1197,1227,929,614,461,289,162,19306,458,2933,1587,815,645,642,820,880,1186,1915,1853,1863,1789,1220,700
부산광역시 > 북구,31397,160,1071,2093,1761,4925,1628,1560,1984,2454,3304,4163,15093,3452,2784,2403,1633,947,,14131,70,487,1210,1125,1062,1040,1218,1389,1603,1769,1254,822,572,336,174,17266,90,584,883,636,566,520,766,1065,1701,2394,2198,1962,1831,1297,773
부산광역시 > 해운대구,44867,178,1643,3801,3400,8844,3249,2810,3381,3540,3893,4681,21554,4208,3464,3065,2258,1296,,18177,77,568,1806,1885,1730,1532,1725,1759,1732,1827,1388,893,628,392,235,26690,101,1075,1995,1515,1519,1278,1656,1781,2161,2854,2820,2571,2437,1866,1061
부산광역시 > 사하구,39817,359,3074,3299,2398,8771,2188,2096,2596,3071,3675,4537,18163,4063,3276,2506,1765,914,,19502,183,1485,2034,1610,1475,1443,1677,1902,1956,2051,1566,1001,589,364,166,20315,176,1589,1265,788,713,653,919,1169,1719,2486,2497,2275,1917,1401,748
부산광역시 > 금정구,36779,934,6581,4330,2238,13149,1593,1441,1860,2145,2583,3255,12877,2966,2370,2066,1512,905,,17069,405,3059,2758,1481,972,864,1082,1208,1300,1328,1003,689,452,291,177,19710,529,3522,1572,757,621,577,778,937,1283,1927,1963,1681,1614,1221,728
부산광역시 > 강서구,13410,39,445,1431,1671,3547,1632,1217,1050,1021,1123,1174,7217,906,617,549,331,204,,8079,17,220,925,1249,1218,938,742,673,652,582,386,232,168,46,31,5331,22,225,506,422,414,279,308,348,471,592,520,385,381,285,173
부산광역시 > 연제구,26078,203,1663,2797,2178,6638,1747,1585,1715,1773,2042,2661,11523,2477,1923,1603,1076,635,,10783,86,556,1217,1206,981,853,930,906,944,1060,844,522,346,216,116,15295,117,1107,1580,972,766,732,785,867,1098,1601,1633,1401,1257,860,519
부산광역시 > 수영구,27696,83,1544,4281,3115,8940,2154,1669,1830,1683,1764,2438,11538,2113,1909,1469,1046,598,,11423,27,456,1894,1691,1190,895,948,877,769,869,675,486,328,204,114,16273,56,1088,2387,1424,964,774,882,806,995,1569,1438,1423,1141,842,484
부산광역시 > 사상구,30922,421,2567,2721,1794,7082,1564,1576,1922,2612,3378,3649,14701,2976,2297,1678,1177,590,,15412,185,1085,1503,1215,1047,1059,1296,1720,1982,1730,1160,713,409,212,96,15510,236,1482,1218,579,517,517,626,892,1396,1919,1816,1584,1269,965,494
부산광역시 > 기장군,18403,43,510,1533,1625,3668,1527,1438,1451,1520,1523,1908,9367,1633,1379,1103,757,453,,8975,21,231,890,1077,1040,923,882,876,732,784,589,422,270,152,86,9428,22,279,643,548,487,515,569,644,791,1124,1044,957,833,605,367
대구광역시 > 중구,14802,81,1576,2872,1642,6090,1034,765,785,771,850,959,5164,844,851,739,627,406,,6680,37,527,1333,975,613,438,453,497,470,424,321,231,167,121,73,8122,44,1049,1539,667,421,327,332,274,380,535,523,620,572,506,333
대구광역시 > 동구,45207,105,1493,4301,3568,9362,2894,2596,3049,3596,4229,4715,21079,4264,3532,3075,2436,1354,,20368,56,522,2293,2337,1836,1581,1849,2064,2077,1915,1478,984,652,460,264,24839,49,971,2008,1231,1058,1015,1200,1532,2152,2800,2786,2548,2423,1976,1090
대구광역시 > 서구,25770,51,664,1590,1233,3487,1194,1236,1921,2498,3288,3273,13410,2754,2063,1859,1378,768,,12119,29,278,887,797,758,794,1305,1599,1887,1482,976,575,399,246,107,13651,22,386,703,436,436,442,616,899,1401,1791,1778,1488,1460,1132,661
대구광역시 > 남구,29917,257,2848,3387,2268,8503,1945,1758,2021,2175,2420,2777,13096,2285,1886,1689,1304,897,,13255,96,1067,1587,1242,1081,1039,1196,1277,1251,1259,858,529,376,234,163,16662,161,1781,1800,1026,864,719,825,898,1169,1518,1427,1357,1313,1070,734
대구광역시 > 북구,55311,981,7178,6354,4159,17691,3409,3245,4005,4248,4450,4521,23878,3690,3067,2782,2048,1174,,27529,436,3493,4073,2832,2274,2138,2513,2579,2193,1923,1187,802,527,354,205,27782,545,3685,2281,1327,1135,1107,1492,1669,2257,2598,2503,2265,2255,1694,969
대구광역시 > 수성구,40196,228,1684,3837,3166,8687,2584,2487,2969,3224,3485,3946,18695,3401,2836,2602,2169,1578,,15801,101,617,1832,1815,1392,1280,1455,1571,1478,1447,1009,680,490,349,285,24395,127,1067,2005,1351,1192,1207,1514,1653,2007,2499,2392,2156,2112,1820,1293
