행정구역별(시군구),전체_남녀_2020,미성년_남녀_2020,청년_남녀_2020,장년_남녀_2020,노년_남녀_2020,전체_남_2020,미성년_남_2020,청년_남_2020,장년_남_2020,노년_남_2020,전체_여_2020,미성년_여_2020,청년_여_2020,장년_여_2020,노년_여_2020
경기도 > 영통구,44294,572,22689,16548,4485,24267,222,13502,9467,1076,20027,350,10831,5437,3409
경기도 > 수정구,40264,409,11561,20093,8201,22127,174,6780,12355,2818,18137,235,5913,6606,5383
경기도 > 중원구,31112,189,8085,16075,6763,16949,69,4607,9965,2308,14163,120,4338,5250,4455
경기도 > 분당구,44057,115,15542,19795,8605,20154,59,8158,10024,1913,23903,56,9495,7660,6692
경기도 > 의정부시,50008,204,11301,25585,12918,24238,100,5910,14463,3765,25770,104,6812,9701,9153
경기도 > 만안구,24935,146,5729,12617,6443,12859,48,3208,7587,2016,12076,98,3093,4458,4427
경기도 > 동안구,23598,129,6104,11656,5709,10827,63,3552,5956,1256,12771,66,3360,4892,4453
경기도 > 부천시,85105,459,18837,45776,20033,42786,181,10298,26284,6023,42319,278,11178,16853,14010
경기도 > 광명시,26496,70,5208,13757,7461,12418,37,2899,7571,1911,14078,33,3206,5289,5550
경기도 > 평택시,69593,283,20107,36717,12486,41297,139,13430,23818,3910,28296,144,8481,11095,8576
경기도 > 동두천시,12035,79,1706,5930,4320,6071,36,1032,3618,1385,5964,43,862,2124,2935
경기도 > 상록구,44299,335,11615,24429,7920,25688,138,7290,15848,2412,18611,197,5399,7507,5508
경기도 > 단원구,37649,256,10481,20784,6128,22267,121,6434,13675,2037,15382,135,5005,6151,4091
경기도 > 덕양구,47998,367,10142,25200,12289,24271,191,6082,14337,3661,23727,176,5410,9513,8628
경기도 > 일산동구,31264,94,8607,17112,5451,14702,48,4147,9101,1406,16562,46,5745,6726,4045
경기도 > 일산서구,21147,75,4298,11030,5744,9409,38,2303,5766,1302,11738,37,2637,4622,4442
경기도 > 과천시,3744,7,818,1699,1220,1774,NaN,542,929,299,1970,NaN,397,649,921
경기도 > 구리시,18155,44,3463,10186,4462,9180,15,1962,5839,1364,8975,29,2030,3818,3098
경기도 > 남양주시,53418,130,9183,29463,14642,27077,59,5550,17039,4429,26341,71,5076,10981,10213
경기도 > 오산시,29692,202,10324,15254,3912,18133,94,6788,10050,1201,11559,108,4551,4189,2711
경기도 > 시흥시,55926,230,14617,32684,8395,35891,155,10402,22559,2775,20035,75,5647,8693,5620
경기도 > 군포시,26017,70,6186,13218,6543,12960,38,3805,7453,1664,13057,32,3036,5110,4879
경기도 > 의왕시,12877,126,3702,5903,3146,6429,47,2216,3340,826,6448,79,1787,2262,2320
경기도 > 하남시,33759,75,11192,16764,5728,18092,33,6246,9858,1955,15667,42,6306,5546,3773
경기도 > 처인구,30031,664,9508,14135,5724,16934,321,5825,8960,1828,13097,343,4247,4611,3896
경기도 > 기흥구,35417,430,11576,15804,7607,17757,187,6831,8830,1909,17660,243,5749,5970,5698
경기도 > 수지구,24708,421,9589,9419,5279,11663,176,5356,5002,1129,13045,245,5015,3635,4150
경기도 > 파주시,43803,129,10564,23002,10108,24101,56,6659,14426,2960,19702,73,4944,7537,7148
경기도 > 이천시,24332,295,6957,11856,5224,13365,110,4270,7310,1675,10967,185,3268,3965,3549
경기도 > 안성시,26020,513,7181,12202,6124,14195,211,4316,7749,1919,11825,302,3353,3965,4205
경기도 > 김포시,41284,149,10469,22379,8287,22340,61,6186,13573,2520,18944,88,5619,7470,5767
경기도 > 화성시,91164,622,34506,44424,11612,56720,236,22841,29803,3840,34444,386,14291,11995,7772
경기도 > 광주시,34577,92,6879,21029,6577,20111,46,4414,13345,2306,14466,46,3515,6634,4271
경기도 > 양주시,22433,128,4219,11834,6252,12284,59,2706,7354,2165,10149,69,1963,4030,4087
경기도 > 포천시,19088,137,3080,10294,5577,10863,48,1920,6856,2039,8225,89,1397,3201,3538
경기도 > 여주시,13288,98,2090,6774,4326,6922,45,1336,3981,1560,6366,53,992,2555,2766
경기도 > 연천군,6200,12,1132,2478,2578,3370,NaN,892,1603,872,2830,9,294,821,1706
경기도 > 가평군,8996,18,1115,4530,3333,4593,8,722,2652,1211,4403,10,520,1751,2122
경기도 > 양평군,14949,25,1494,7746,5684,7263,13,902,4291,2057,7686,12,828,3219,3627
강원도 > 춘천시,39825,611,12465,16691,10058,19239,261,7103,9112,2763,20586,350,6300,6641,7295
강원도 > 원주시,51940,1049,15364,24486,11041,25921,537,8459,13649,3276,26019,512,8225,9517,7765
강원도 > 강릉시,37635,2174,11689,13816,9956,18771,1193,7248,7624,2706,18864,981,5020,5613,7250
강원도 > 동해시,11497,69,1410,5800,4218,5574,33,956,3405,1180,5923,36,616,2233,3038
강원도 > 태백시,6420,54,763,2997,2606,3038,14,445,1846,733,3382,40,391,1078,1873
강원도 > 속초시,12122,34,1751,6460,3877,5861,19,1135,3570,1137,6261,15,827,2679,2740
강원도 > 삼척시,12516,819,3486,4164,4047,6698,537,2438,2677,1046,5818,282,1143,1392,3001
강원도 > 홍천군,9875,12,1231,4633,3999,5176,5,886,2815,1470,4699,7,444,1719,2529
강원도 > 횡성군,6383,45,535,2992,2811,3202,27,341,1843,991,3181,18,242,1101,1820
강원도 > 영월군,6505,26,534,3052,2893,3348,12,344,2000,992,3157,14,243,999,1901
강원도 > 평창군,6793,7,602,3389,2795,3367,NaN,361,2076,926,3426,NaN,308,1246,1869
강원도 > 정선군,6186,11,597,3114,2464,3171,8,354,2021,788,3015,NaN,325,1011,1676
강원도 > 철원군,4799,6,732,1995,2066,2394,NaN,575,1227,588,2405,NaN,196,729,1478
강원도 > 화천군,3381,7,707,1437,1230,1947,NaN,575,961,411,1434,7,162,446,819
강원도 > 양구군,2531,5,432,1139,955,1349,NaN,325,725,295,1182,NaN,134,387,660
강원도 > 인제군,4056,7,647,1959,1443,2272,NaN,480,1282,508,1784,5,209,635,935
강원도 > 고성군,4413,41,812,1677,1883,2155,31,586,1050,488,2258,10,260,593,1395
강원도 > 양양군,4494,6,422,2164,1902,2195,NaN,264,1346,582,2299,NaN,222,754,1320
충청북도 > 충주시,33557,951,9892,13532,9182,17364,462,6311,7951,2640,16193,489,4103,5059,6542
충청북도 > 제천시,21705,694,5399,8831,6781,10614,345,3162,5109,1998,11091,349,2533,3426,4783
충청북도 > 상당구,18899,55,3297,9547,6000,9013,29,2031,5222,1731,9886,26,1700,3891,4269
충청북도 > 서원구,30535,811,11231,12122,6371,15082,409,6435,6444,1794,15453,402,5432,5042,4577
충청북도 > 흥덕구,39230,327,15485,17930,5488,20935,127,8993,10235,1580,18295,200,7794,6393,3908
충청북도 > 청원구,28208,670,10629,11959,4950,16078,347,7086,7221,1424,12130,323,4242,4039,3526
충청북도 > 보은군,5081,10,336,1951,2784,2267,7,224,1253,783,2814,NaN,146,664,2001
충청북도 > 옥천군,6142,19,485,2444,3194,2672,11,301,1490,870,3470,8,242,896,2324
충청북도 > 영동군,7675,213,1192,2768,3502,3654,154,832,1680,988,4021,59,417,1031,2514
충청북도 > 진천군,11855,153,2898,5907,2897,6900,97,2118,3833,852,4955,56,1011,1843,2045
충청북도 > 괴산군,7554,369,1475,2829,2881,3864,208,938,1782,936,3690,161,602,982,1945
충청북도 > 음성군,15528,280,3274,7721,4253,8682,131,2068,5051,1432,6846,149,1492,2384,2821
충청북도 > 단양군,4650,8,349,2069,2224,2215,5,213,1310,687,2435,NaN,174,721,1537
충청북도 > 증평군,5589,34,1409,2637,1509,3125,13,1006,1663,443,2464,21,485,892,1066
충청남도 > 동남구,40654,1496,14389,17435,7334,20922,539,7643,10375,2365,19732,957,7580,6226,4969
충청남도 > 서북구,56633,507,24331,25176,6619,32416,253,14350,15815,1998,24217,254,11795,7547,4621
충청남도 > 공주시,16886,532,4464,6243,5647,7647,202,2216,3625,1604,9239,330,2444,2422,4043
충청남도 > 보령시,13745,61,1880,6094,5710,6579,28,1231,3745,1575,7166,33,835,2163,4135
충청남도 > 아산시,42748,681,13025,20521,8521,24578,288,8243,13556,2491,18170,393,5688,6059,6030
충청남도 > 서산시,23003,322,5769,10570,6342,13046,172,4223,6825,1826,9957,150,1855,3436,4516
충청남도 > 논산시,17566,324,3214,7067,6961,8224,138,1955,4201,1930,9342,186,1459,2666,5031
충청남도 > 계룡시,3218,13,582,1689,934,1503,7,364,899,233,1715,6,290,718,701
충청남도 > 당진시,23570,165,5172,12178,6055,14614,85,3867,8744,1918,8956,80,1638,3101,4137
충청남도 > 금산군,8783,459,1457,3187,3680,4012,214,764,2001,1033,4771,245,760,1119,2647
충청남도 > 부여군,9598,93,909,3363,5233,3896,43,491,1989,1373,5702,50,504,1288,3860
충청남도 > 서천군,7846,10,504,2713,4619,3230,9,316,1733,1172,4616,NaN,233,935,3447
충청남도 > 청양군,4709,22,447,1744,2496,2110,8,283,1078,741,2599,14,195,635,1755
충청남도 > 홍성군,14810,421,3543,5730,5116,6882,200,2018,3327,1337,7928,221,1733,2195,3779
충청남도 > 예산군,11065,92,1423,4419,5131,5013,38,890,2649,1436,6052,54,634,1669,3695
충청남도 > 태안군,10139,208,1614,4244,4073,5065,162,1179,2522,1202,5074,46,523,1634,2871
전라북도 > 완산구,46758,509,13641,21064,11544,21868,265,7119,11281,3203,24890,244,7716,8589,8341
전라북도 > 덕진구,42280,937,14726,17942,8675,22178,534,8702,10487,2455,20102,403,7005,6474,6220
전라북도 > 군산시,37319,571,8396,17412,10940,19338,353,5172,10652,3161,17981,218,3967,6017,7779
전라북도 > 익산시,41275,1015,11629,16460,12171,20488,554,7070,9677,3187,20787,461,5152,6190,8984
전라북도 > 정읍시,15563,55,1608,6411,7489,6777,32,968,3963,1814,8786,23,797,2291,5675
전라북도 > 남원시,11404,20,1130,4687,5567,4695,11,639,2790,1255,6709,9,630,1758,4312
전라북도 > 김제시,11679,34,877,4386,6382,4655,24,536,2695,1400,7024,10,446,1586,4982
전라북도 > 완주군,13398,444,3755,5213,3986,7078,230,2305,3431,1112,6320,214,1645,1587,2874
전라북도 > 진안군,3735,6,209,1431,2089,1639,NaN,127,934,575,2096,NaN,104,475,1514
전라북도 > 무주군,3748,NaN,291,1429,2024,1555,NaN,156,907,491,2193,NaN,161,496,1533
전라북도 > 장수군,3231,6,213,1180,1832,1325,NaN,134,739,450,1906,NaN,97,423,1382
전라북도 > 임실군,4800,159,630,1556,2455,2137,67,340,1081,649,2663,92,304,461,1806
전라북도 > 순창군,3938,6,199,1359,2374,1525,5,112,886,522,2413,NaN,114,446,1852
전라북도 > 고창군,8326,19,568,2882,4857,3228,13,326,1821,1068,5098,6,305,998,3789
전라북도 > 부안군,7815,13,549,2885,4368,3278,8,348,1796,1126,4537,5,271,1019,3242
전라남도 > 목포시,31836,598,6429,15718,9091,15988,431,3894,9089,2574,15848,167,3231,5933,6517
전라남도 > 여수시,34072,438,6648,15847,11139,17588,265,4478,9724,3121,16484,173,2722,5571,8018
전라남도 > 순천시,31947,305,7546,14584,9512,15235,159,4400,8203,2473,16712,146,3808,5719,7039
전라남도 > 나주시,17978,147,4002,7411,6418,8460,70,2241,4534,1615,9518,77,2125,2513,4803
전라남도 > 광양시,16276,106,3345,8745,4080,9404,70,2346,5914,1074,6872,36,1237,2593,3006
전라남도 > 담양군,5643,34,613,2002,2994,2361,23,392,1258,688,3282,11,276,689,2306
전라남도 > 곡성군,5278,101,712,1667,2798,2198,69,426,1064,639,3080,32,322,567,2159
전라남도 > 구례군,4195,7,244,1674,2270,1692,6,132,1033,521,2503,NaN,143,610,1749
전라남도 > 고흥군,11805,13,521,3714,7557,4555,8,325,2399,1823,7250,5,257,1254,5734
전라남도 > 보성군,7007,7,374,2340,4286,2689,NaN,213,1494,980,4318,5,201,806,3306
전라남도 > 화순군,8555,21,778,3315,4441,3429,12,448,1979,990,5126,9,411,1255,3451
전라남도 > 장흥군,6305,11,471,2162,3661,2420,8,265,1342,805,3885,NaN,253,773,2856
전라남도 > 강진군,5856,14,507,1951,3384,2276,7,291,1216,762,3580,7,261,690,2622
전라남도 > 해남군,10325,21,709,3655,5940,4231,8,420,2328,1475,6094,13,372,1244,4465
전라남도 > 영암군,9120,131,1525,3878,3586,4543,51,878,2750,864,4577,80,722,1053,2722
전라남도 > 무안군,12937,620,4123,4341,3853,6427,372,2431,2649,975,6510,248,1947,1437,2878
전라남도 > 함평군,5184,NaN,300,1830,3050,2199,NaN,178,1232,788,2985,NaN,151,569,2262
전라남도 > 영광군,7634,28,789,2972,3845,3367,13,517,1907,930,4267,15,356,981,2915
전라남도 > 장성군,5406,18,597,1891,2900,2266,8,385,1229,644,3140,10,249,625,2256
전라남도 > 완도군,7482,10,586,3038,3848,3325,5,332,2014,974,4157,5,307,971,2874
전라남도 > 진도군,5206,8,375,1878,2945,2177,NaN,235,1231,707,3029,NaN,176,611,2238
전라남도 > 신안군,6586,5,411,2654,3516,3202,NaN,278,1971,952,3384,NaN,180,636,2564
경상북도 > 남구,30330,54,5987,15696,8593,16424,29,4142,9622,2631,13906,25,2386,5533,5962
경상북도 > 북구,32517,173,6265,15929,10150,14744,77,3711,8249,2707,17773,96,3233,7001,7443
경상북도 > 경주시,39638,1039,8891,16678,13030,18917,515,5347,9716,3339,20721,524,4108,6398,9691
경상북도 > 김천시,19858,269,4102,8005,7482,9080,106,2378,4797,1799,10778,163,2015,2917,5683
경상북도 > 안동시,26475,668,6587,9998,9222,12252,372,3662,5858,2360,14223,296,3335,3730,6862
경상북도 > 구미시,54929,980,19351,26530,8068,30740,658,12298,15665,2119,24189,322,8764,9154,5949
경상북도 > 영주시,15683,515,3053,5809,6306,7105,233,1954,3332,1586,8578,282,1271,2305,4720
경상북도 > 영천시,16400,50,2287,7229,6834,7918,36,1625,4342,1915,8482,14,844,2705,4919
경상북도 > 상주시,16128,368,2609,5515,7636,7058,232,1755,3303,1768,9070,136,1005,2061,5868
경상북도 > 문경시,10702,36,1014,4177,5475,4270,13,597,2375,1285,6432,23,535,1684,4190
경상북도 > 경산시,41805,1411,15674,15953,8767,21222,683,9175,9217,2147,20583,728,7202,6033,6620
경상북도 > 군위군,4111,7,183,1600,2321,1888,NaN,120,1024,740,2223,NaN,87,552,1581
경상북도 > 의성군,9344,7,539,3136,5662,3722,NaN,330,1977,1411,5622,NaN,278,1090,4251
경상북도 > 청송군,4531,NaN,346,1829,2353,2019,NaN,258,1134,625,2512,NaN,121,662,1728
경상북도 > 영양군,2890,5,167,1041,1677,1207,NaN,103,679,421,1683,NaN,83,343,1256
경상북도 > 영덕군,6814,7,403,2497,3907,2453,NaN,253,1410,786,4361,NaN,213,1024,3121
경상북도 > 청도군,6942,8,342,2614,3978,2751,5,215,1473,1058,4191,NaN,189,1079,2920
경상북도 > 고령군,4686,14,277,2073,2322,2166,8,176,1294,688,2520,6,120,760,1634
경상북도 > 성주군,6322,10,529,2773,3010,3062,10,335,1798,919,3260,NaN,241,928,2091
경상북도 > 칠곡군,15218,129,3274,8203,3612,8548,75,2103,5408,962,6670,54,1531,2435,2650
경상북도 > 예천군,8281,69,975,2931,4306,3443,33,608,1737,1065,4838,36,458,1103,3241
경상북도 > 봉화군,5083,5,239,1925,2914,2287,NaN,161,1272,850,2796,NaN,115,616,2064
경상북도 > 울진군,8370,15,1062,3351,3942,3788,7,726,2128,927,4582,8,416,1143,3015
경상북도 > 울릉군,1734,NaN,239,986,507,1063,NaN,173,731,159,671,NaN,92,229,348
경상남도 > 진주시,49332,1118,15533,19326,13355,23431,561,9077,10610,3183,25901,557,7408,7764,10172
경상남도 > 통영시,17445,107,2340,9112,5886,8440,57,1405,5331,1647,9005,50,1208,3508,4239
경상남도 > 사천시,15604,35,2462,7341,5766,7506,23,1781,4345,1357,8098,12,931,2746,4409
경상남도 > 김해시,56046,355,12484,30911,12296,29735,178,7761,18407,3389,26311,177,6087,11140,8907
경상남도 > 밀양시,16645,50,1609,7199,7787,7152,31,1016,4053,2052,9493,19,793,2946,5735
경상남도 > 거제시,27960,58,5263,17398,5241,17150,34,3596,11939,1581,10810,24,2274,4852,3660
경상남도 > 양산시,39894,148,8419,21216,10111,20021,77,5014,12179,2751,19873,71,4357,8085,7360
경상남도 > 의창구,30619,138,7100,17049,6332,16457,69,4477,9931,1980,14162,69,3402,6339,4352
경상남도 > 성산구,21745,42,6579,11882,3242,11625,25,4035,6594,971,10120,17,3298,4534,2271
경상남도 > 마산합포구,22631,100,3433,10721,8377,10364,48,2050,5936,2330,12267,52,1792,4376,6047
경상남도 > 마산회원구,21943,81,3051,11518,7293,10499,42,1773,6500,2184,11444,39,1670,4626,5109
경상남도 > 진해구,22223,58,4357,12059,5749,12345,34,3004,7647,1660,9878,24,1857,3908,4089
경상남도 > 의령군,5124,8,357,1797,2962,2078,NaN,201,1123,750,3046,NaN,195,635,2212
경상남도 > 함안군,8846,16,671,4020,4139,4269,10,481,2601,1177,4577,6,264,1345,2962
경상남도 > 창녕군,9792,30,719,4047,4996,4217,25,458,2438,1296,5575,5,347,1523,3700
경상남도 > 고성군,7870,11,473,3252,4134,3378,6,291,2019,1062,4492,5,256,1159,3072
경상남도 > 남해군,7368,92,483,2291,4502,2721,55,311,1378,977,4647,37,214,871,3525
경상남도 > 하동군,7072,9,406,2814,3843,3033,NaN,246,1786,997,4039,5,197,991,2846
경상남도 > 산청군,6032,NaN,286,2447,3297,2533,NaN,180,1485,866,3499,NaN,143,925,2431
경상남도 > 함양군,6679,11,451,2458,3759,2595,NaN,262,1473,856,4084,7,239,935,2903
경상남도 > 거창군,8787,34,968,3186,4599,3459,16,644,1813,986,5328,18,412,1285,3613
경상남도 > 합천군,8080,5,385,2633,5057,3063,5,225,1681,1152,5017,NaN,199,913,3905
