행정구역별(시군구),전체_남녀,미성년_남녀,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
전라남도 > 무안군,"10,191",193,"1,124",706,736,597,555,626,658,730,639,702,813,957,689,466,"4,855",117,694,460,490,392,371,379,409,415,307,254,208,191,104,64,"5,336",76,430,246,246,205,184,247,249,315,332,448,605,766,585,402
전라남도 > 함평군,"4,867",15,37,101,101,100,156,247,339,455,429,463,600,822,613,389,"1,900",7,24,59,78,71,117,179,231,292,209,193,150,143,91,56,"2,967",8,13,42,23,29,39,68,108,163,220,270,450,679,522,333
전라남도 > 영광군,"7,065",26,110,318,244,247,317,444,531,653,615,669,860,962,693,376,"2,990",12,73,206,166,179,228,295,332,386,307,241,225,176,109,55,"4,075",14,37,112,78,68,89,149,199,267,308,428,635,786,584,321
전라남도 > 장성군,"4,970",29,91,193,152,159,175,268,314,408,376,435,610,769,610,381,"2,006",18,50,140,106,129,136,205,208,234,188,135,145,149,103,60,"2,964",11,41,53,46,30,39,63,106,174,188,300,465,620,507,321
전라남도 > 완도군,"7,033",19,75,221,258,221,336,476,540,649,585,641,833,988,727,464,"2,949",12,30,108,172,157,242,338,376,370,290,249,210,206,131,58,"4,084",7,45,113,86,64,94,138,164,279,295,392,623,782,596,406
전라남도 > 진도군,"4,941",8,49,141,130,142,180,244,341,383,366,475,668,794,623,397,"1,867",NaN,20,92,82,113,141,169,212,210,189,199,151,150,88,48,"3,074",5,29,49,48,29,39,75,129,173,177,276,517,644,535,349
전라남도 > 신안군,"6,284",29,58,206,188,184,263,397,475,537,519,546,777,962,721,422,"2,822",13,39,121,136,148,233,296,348,380,301,268,207,170,103,59,"3,462",16,19,85,52,36,30,101,127,157,218,278,570,792,618,363
경상북도 > 남구,"26,546",61,793,"2,089","2,211","1,949","2,085","2,545","2,581","3,230","2,693","1,933","1,528","1,377",941,530,"14,205",34,462,"1,451","1,555","1,336","1,479","1,701","1,565","1,688","1,197",744,469,308,153,63,"12,341",27,331,638,656,613,606,844,"1,016","1,542","1,496","1,189","1,059","1,069",788,467
경상북도 > 북구,"26,701",144,"1,213","1,766","1,812","1,777","1,818","2,100","2,523","3,079","2,775","2,108","1,867","1,761","1,188",770,"11,767",74,549,"1,124","1,192","1,117","1,110","1,157","1,208","1,367","1,080",719,474,321,181,94,"14,934",70,664,642,620,660,708,943,"1,315","1,712","1,695","1,389","1,393","1,440","1,007",676
경상북도 > 경주시,"34,493",712,"3,635","2,353","1,804","1,701","2,022","2,338","2,753","3,280","3,026","2,514","2,418","2,636","2,085","1,216","16,205",395,"2,030","1,617","1,252","1,181","1,332","1,447","1,610","1,650","1,361",884,545,440,315,146,"18,288",317,"1,605",736,552,520,690,891,"1,143","1,630","1,665","1,630","1,873","2,196","1,770","1,070"
경상북도 > 김천시,"16,847",160,"1,066","1,061","1,078",907,867,"1,103","1,349","1,515","1,347","1,324","1,286","1,673","1,302",809,"7,427",58,490,691,739,639,565,745,860,772,550,458,283,270,196,111,"9,420",102,576,370,339,268,302,358,489,743,797,866,"1,003","1,403","1,106",698
경상북도 > 안동시,"21,974",404,"2,327","1,390","1,111","1,090","1,181","1,493","1,533","1,943","1,767","1,637","1,689","1,867","1,593",949,"10,093",260,"1,313",884,702,700,760,944,890,977,728,572,452,414,335,162,"11,881",144,"1,014",506,409,390,421,549,643,966,"1,039","1,065","1,237","1,453","1,258",787
경상북도 > 구미시,"48,338",526,"5,316","6,991","7,165","5,298","4,200","3,823","3,420","3,165","2,331","1,687","1,319","1,452","1,004",641,"26,709",247,"2,910","4,366","4,827","3,592","2,638","2,334","1,905","1,477",978,580,311,276,162,106,"21,629",279,"2,406","2,625","2,338","1,706","1,562","1,489","1,515","1,688","1,353","1,107","1,008","1,176",842,535
경상북도 > 영주시,"13,937",206,"1,567",708,541,549,596,790,959,"1,363","1,205","1,172","1,197","1,390","1,070",624,"6,442",117,"1,034",525,377,336,408,527,560,722,502,384,323,298,209,120,"7,495",89,533,183,164,213,188,263,399,641,703,788,874,"1,092",861,504
경상북도 > 영천시,"13,450",52,263,578,561,558,716,974,"1,138","1,350","1,286","1,259","1,287","1,505","1,303",620,"5,842",26,129,378,389,388,450,596,642,750,645,498,341,291,221,98,"7,608",26,134,200,172,170,266,378,496,600,641,761,946,"1,214","1,082",522
경상북도 > 상주시,"13,792",94,744,561,449,407,507,697,957,"1,164","1,274","1,260","1,323","1,874","1,541",940,"5,486",54,492,361,312,284,347,441,574,595,547,418,305,327,259,170,"8,306",40,252,200,137,123,160,256,383,569,727,842,"1,018","1,547","1,282",770
경상북도 > 문경시,"9,357",93,143,286,315,294,368,517,687,926,971,945,"1,047","1,265",915,585,"3,570",58,72,164,194,191,255,331,366,474,415,302,243,246,174,85,"5,787",35,71,122,121,103,113,186,321,452,556,643,804,"1,019",741,500
경상북도 > 경산시,"34,448",907,"5,719","4,079","3,089","2,388","2,368","2,410","2,352","2,407","2,011","1,788","1,555","1,608","1,149",618,"17,718",446,"2,921","2,772","2,180","1,645","1,552","1,458","1,325","1,149",808,542,352,299,181,88,"16,730",461,"2,798","1,307",909,743,816,952,"1,027","1,258","1,203","1,246","1,203","1,309",968,530
경상북도 > 군위군,"3,701",NaN,28,58,65,79,99,168,292,351,415,392,421,563,510,256,"1,563",NaN,18,40,43,58,72,112,193,223,236,181,128,118,90,48,"2,138",NaN,10,18,22,21,27,56,99,128,179,211,293,445,420,208
경상북도 > 의성군,"8,520",7,70,149,133,155,182,296,505,745,802,914,"1,040","1,512","1,281",729,"3,015",6,31,86,79,118,129,209,313,415,367,314,297,292,231,128,"5,505",NaN,39,63,54,37,53,87,192,330,435,600,743,"1,220","1,050",601
경상북도 > 청송군,"3,994",7,27,106,125,103,135,220,340,404,408,408,470,552,439,250,"1,619",NaN,13,67,88,82,89,146,202,208,192,164,115,118,83,48,"2,375",NaN,14,39,37,21,46,74,138,196,216,244,355,434,356,202
경상북도 > 영양군,"2,617",NaN,20,53,62,53,66,143,187,250,256,253,326,418,325,203,988,NaN,10,34,39,41,49,107,115,136,121,84,84,82,47,38,"1,629",NaN,10,19,23,12,17,36,72,114,135,169,242,336,278,165
경상북도 > 영덕군,"6,497",13,71,161,157,147,207,377,460,610,638,689,775,977,704,511,"2,223",8,29,98,84,97,141,259,269,294,271,218,155,148,97,55,"4,274",5,42,63,73,50,66,118,191,316,367,471,620,829,607,456
경상북도 > 청도군,"6,393",10,42,122,140,134,193,301,442,673,682,722,697,960,829,446,"2,377",5,23,75,82,87,124,192,261,346,331,294,197,178,108,74,"4,016",5,19,47,58,47,69,109,181,327,351,428,500,782,721,372
경상북도 > 고령군,"4,202",10,58,106,129,134,210,259,403,479,430,406,381,547,430,220,"1,894",NaN,32,67,94,96,151,181,247,287,230,181,105,110,77,33,"2,308",7,26,39,35,38,59,78,156,192,200,225,276,437,353,187
경상북도 > 성주군,"5,643",18,72,170,178,189,236,354,545,634,588,580,499,629,597,354,"2,607",13,38,118,118,144,184,249,368,373,286,246,156,162,101,51,"3,036",5,34,52,60,45,52,105,177,261,302,334,343,467,496,303
경상북도 > 칠곡군,"14,453",181,997,"1,568","1,875","1,500","1,275","1,133","1,107","1,064",829,688,658,722,552,304,"7,952",96,390,954,"1,381","1,164",907,769,665,586,386,229,165,131,83,46,"6,501",85,607,614,494,336,368,364,442,478,443,459,493,591,469,258
경상북도 > 예천군,"6,576",25,132,179,174,152,192,273,371,528,592,645,737,"1,064",917,595,"2,467",16,84,106,114,107,133,184,221,301,288,232,195,230,162,94,"4,109",9,48,73,60,45,59,89,150,227,304,413,542,834,755,501
경상북도 > 봉화군,"4,660",10,29,74,104,96,133,240,355,460,469,476,543,721,586,364,"1,904",7,13,45,76,77,106,178,230,278,238,179,152,146,116,63,"2,756",NaN,16,29,28,19,27,62,125,182,231,297,391,575,470,301
경상북도 > 울진군,"7,764",16,109,395,313,281,367,484,657,783,711,656,724,933,739,596,"3,271",8,63,263,232,204,270,329,416,433,322,225,170,168,107,61,"4,493",8,46,132,81,77,97,155,241,350,389,431,554,765,632,535
경상북도 > 울릉군,"1,644",6,55,110,104,118,120,154,196,227,157,112,86,80,68,51,"1,041",5,41,78,75,86,98,129,153,151,93,50,26,29,17,10,603,NaN,14,32,29,32,22,25,43,76,64,62,60,51,51,41
경상남도 > 진주시,"40,393",855,"4,982","3,695","2,886","2,449","2,470","2,776","2,929","3,558","3,033","2,655","2,528","2,607","1,837","1,133","18,852",426,"2,654","2,405","1,836","1,573","1,587","1,667","1,576","1,609","1,215",839,581,477,271,136,"21,541",429,"2,328","1,290","1,050",876,883,"1,109","1,353","1,949","1,818","1,816","1,947","2,130","1,566",997
경상남도 > 통영시,"15,355",48,322,735,972,"1,047","1,160","1,405","1,588","1,808","1,580","1,267","1,103","1,104",764,452,"7,304",22,145,406,686,758,809,860,905,873,730,469,283,189,116,53,"8,051",26,177,329,286,289,351,545,683,935,850,798,820,915,648,399
경상남도 > 사천시,"13,227",58,311,737,793,777,830,977,"1,167","1,302","1,224","1,139","1,164","1,245",952,551,"5,917",38,193,556,576,538,570,591,691,638,524,374,263,198,106,61,"7,310",20,118,181,217,239,260,386,476,664,700,765,901,"1,047",846,490
경상남도 > 김해시,"44,413",316,"2,207","3,391","4,187","4,120","4,125","4,686","4,404","4,536","3,479","2,689","2,142","2,057","1,387",687,"23,332",184,"1,105","2,166","2,900","2,885","2,767","2,862","2,498","2,343","1,538",892,528,356,209,99,"21,081",132,"1,102","1,225","1,287","1,235","1,358","1,824","1,906","2,193","1,941","1,797","1,614","1,701","1,178",588
경상남도 > 밀양시,"14,597",47,280,449,535,514,594,856,"1,170","1,617","1,718","1,503","1,529","1,755","1,326",704,"5,830",29,164,258,347,355,403,542,674,788,746,525,370,305,218,106,"8,767",18,116,191,188,159,191,314,496,829,972,978,"1,159","1,450","1,108",598
경상남도 > 거제시,"26,678",78,786,"2,618","3,662","3,490","2,962","3,020","2,476","2,245","1,517","1,085",845,829,633,432,"17,208",43,429,"1,828","2,928","2,875","2,302","2,205","1,588","1,279",724,446,252,162,86,61,"9,470",35,357,790,734,615,660,815,888,966,793,639,593,667,547,371
경상남도 > 양산시,"29,655",149,"1,007","2,397","2,826","2,550","2,540","2,851","2,769","3,201","2,656","2,052","1,776","1,524",891,466,"15,002",69,447,"1,466","1,988","1,766","1,663","1,694","1,594","1,577","1,044",695,473,297,152,77,"14,653",80,560,931,838,784,877,"1,157","1,175","1,624","1,612","1,357","1,303","1,227",739,389
경상남도 > 의창구,"26,217",114,"1,121","2,280","2,738","2,544","2,574","2,702","2,600","2,708","2,170","1,450","1,132","1,013",726,345,"14,249",59,612,"1,501","1,875","1,745","1,698","1,637","1,498","1,322",966,577,354,227,129,49,"11,968",55,509,779,863,799,876,"1,065","1,102","1,386","1,204",873,778,786,597,296
경상남도 > 성산구,"17,575",48,677,"2,130","2,530","1,964","1,882","1,839","1,618","1,592","1,151",746,460,470,312,156,"9,623",24,348,"1,358","1,709","1,263","1,163","1,042",852,775,515,285,138,88,36,27,"7,952",24,329,772,821,701,719,797,766,817,636,461,322,382,276,129
경상남도 > 마산합포구,"21,050",306,"1,358","1,281","1,398","1,279","1,283","1,503","1,688","2,224","2,251","1,849","1,536","1,525",991,578,"9,719",198,736,828,911,821,827,887,909,"1,046",951,674,388,292,162,89,"11,331",108,622,453,487,458,456,616,779,"1,178","1,300","1,175","1,148","1,233",829,489
경상남도 > 마산회원구,"20,069",112,584,"1,031","1,359","1,421","1,521","1,754","2,070","2,484","2,345","1,868","1,344","1,165",660,351,"9,800",50,268,613,959,972,986,"1,086","1,173","1,192","1,010",673,386,278,113,41,"10,269",62,316,418,400,449,535,668,897,"1,292","1,335","1,195",958,887,547,310
경상남도 > 진해구,"18,374",51,575,"1,584","1,973","1,997","1,590","1,568","1,558","1,812","1,491","1,174","1,002",961,683,355,"10,176",30,353,"1,130","1,459","1,511","1,160","1,012",925,913,633,429,254,189,120,58,"8,198",21,222,454,514,486,430,556,633,899,858,745,748,772,563,297
경상남도 > 의령군,"4,840",12,39,107,119,133,129,218,269,426,408,407,569,825,740,439,"1,646",6,17,54,69,88,103,142,155,250,186,141,129,148,96,62,"3,194",6,22,53,50,45,26,76,114,176,222,266,440,677,644,377
경상남도 > 함안군,"8,565",31,128,278,359,374,464,586,697,960,840,782,819,988,800,459,"4,006",17,81,190,272,294,358,416,469,544,454,321,239,171,116,64,"4,559",14,47,88,87,80,106,170,228,416,386,461,580,817,684,395
경상남도 > 창녕군,"9,207",23,113,271,309,286,334,505,730,944,899,895,943,"1,354","1,027",574,"3,639",10,71,165,213,206,236,362,432,488,418,347,226,216,169,80,"5,568",13,42,106,96,80,98,143,298,456,481,548,717,"1,138",858,494
경상남도 > 고성군,"7,560",19,98,180,254,288,357,468,556,744,701,744,759,986,867,539,"3,132",8,51,111,184,212,273,311,342,418,347,299,187,174,142,73,"4,428",11,47,69,70,76,84,157,214,326,354,445,572,812,725,466
경상남도 > 남해군,"6,991",26,112,168,116,128,205,277,423,568,581,684,792,"1,087","1,020",804,"2,294",12,82,93,81,81,133,179,261,314,258,227,174,169,134,96,"4,697",14,30,75,35,47,72,98,162,254,323,457,618,918,886,708
경상남도 > 하동군,"6,482",16,78,137,162,152,209,361,503,705,625,585,710,935,788,516,"2,471",11,44,68,115,107,136,248,293,392,320,221,188,149,116,63,"4,011",5,34,69,47,45,73,113,210,313,305,364,522,786,672,453
경상남도 > 산청군,"5,533",15,41,100,107,146,171,312,440,558,581,544,617,822,699,380,"2,126",10,20,62,76,99,117,199,272,296,303,231,160,146,86,49,"3,407",5,21,38,31,47,54,113,168,262,278,313,457,676,613,331
경상남도 > 함양군,"6,041",20,60,126,138,139,212,328,418,542,537,604,697,967,738,515,"2,109",11,30,61,89,101,159,219,247,313,228,205,149,154,89,54,"3,932",9,30,65,49,38,53,109,171,229,309,399,548,813,649,461
경상남도 > 거창군,"7,851",38,285,241,274,256,264,433,512,633,682,718,869,"1,157",902,587,"2,911",25,208,146,171,176,182,266,319,317,284,216,174,213,131,83,"4,940",13,77,95,103,80,82,167,193,316,398,502,695,944,771,504
경상남도 > 합천군,"7,757",11,54,152,133,128,189,313,450,682,628,810,982,"1,420","1,193",612,"2,558",NaN,26,95,83,89,133,213,285,369,304,272,233,212,153,87,"5,199",7,28,57,50,39,56,100,165,313,324,538,749,"1,208","1,040",525
