sigungu,2016,2017,2018,2019,2020,인구감소지수 분류,sido,pop,hp_bin,sig_cd
전라남도 영광군,7.274302578496584,6.586289540606305,7.621060829416182,10.658688233369174,10.53426467811969,인구감소지역,전라남도,52970.0,8.4~10.6,46870
전라남도 영암군,8.836214453522214,7.812989991846535,6.730004297692962,6.313341086559229,5.312109746323461,인구감소지역,전라남도,53651.0,4.1~6,46830
전라남도 완도군,7.350700792199879,6.355484725715712,6.019242157995398,5.552875385206116,4.879316895634611,인구감소지역,전라남도,50007.0,4.1~6,46890
전라남도 장성군,8.403361344537815,7.199045962298006,7.551062965767782,5.884038169116513,5.814668619798947,인구감소지역,전라남도,44714.5,4.1~6,46880
전라남도 장흥군,3.901061423767755,4.01536312849162,4.466041590012307,5.309436552233201,6.15449634824412,인구감소지역,전라남도,37858.5,4.1~6,46800
전라남도 진도군,5.660672400312744,5.500237079184448,4.25927112022033,5.209350784658462,3.580554334912032,인구감소지역,전라남도,30721.5,2~4,46900
전라남도 함평군,5.982082932096064,4.705882352941176,4.356388375007459,3.752230746937966,4.112405757368061,인구감소지역,전라남도,32098.0,2~4,46860
전라남도 해남군,10.470018582284888,8.672262986375062,7.383549783549784,6.946561097840187,5.724679164341771,인구감소지역,전라남도,68999.5,4.1~6,46820
전라남도 화순군,5.101962411445608,4.711863355962677,4.213494145749305,4.469682509384743,4.213471852560649,인구감소지역,전라남도,62181.5,4.1~6,46790
전라북도 고창군,4.226422658971125,3.9109957228685075,4.184279797988459,4.155695272896628,3.719413322095697,인구감소지역,전라북도,54578.5,2~4,45790
전라북도 김제시,5.195042967811331,4.820001271463165,4.137850193412262,3.5436241610738257,3.55560948971543,인구감소지역,전라북도,82405.0,2~4,45210
전라북도 남원시,6.187382499226578,5.199077854089621,5.454876053094127,5.2336127861940485,4.723911547545984,인구감소지역,전라북도,80653.5,4.1~6,45190
전라북도 무주군,4.964468021219098,4.1978647399543885,3.211643223026262,2.998500749625187,3.697779255042898,인구감소지역,전라북도,24068.5,2~4,45730
전라북도 부안군,4.749962337052365,5.173674914812767,3.923787275979122,4.23244751577804,3.2343878586055768,인구감소지역,전라북도,52251.0,2~4,45800
전라북도 순창군,8.422178403128237,7.385673816268717,7.374656446849554,6.321929410942876,5.94343000358038,인구감소지역,전라북도,27930.0,4.1~6,45770
전라북도 임실군,5.391732676562604,5.933531117703923,5.210333828760374,5.152616403064271,5.908049269550272,인구감소지역,전라북도,27928.0,4.1~6,45750
전라북도 장수군,5.398226297073818,4.223864836325237,3.782855403613279,4.225259127219911,4.2872938150145545,인구감소지역,전라북도,22158.5,4.1~6,45740
전라북도 정읍시,5.646236206708183,4.728799802378516,4.71036190237842,4.198365992328688,3.3925180227519958,인구감소지역,전라북도,108474.0,2~4,45180
전라북도 진안군,6.669365253763565,5.966587112171838,6.171291921393169,5.8891207269749035,5.441533092801799,인구감소지역,전라북도,25360.5,4.1~6,45720
충청남도 공주시,4.986553625962897,5.252760237805103,4.7862960785960205,5.160391172717728,4.3371514277252885,인구감소지역,충청남도,104677.0,4.1~6,44150
충청남도 금산군,5.325520113512817,4.332022571139062,3.9740837006064718,3.960244502051866,3.6011134253401593,인구감소지역,충청남도,51373.0,2~4,44710
충청남도 논산시,5.820740777023993,5.422350947060082,5.2384144843409715,5.12755533029228,4.184333614861243,인구감소지역,충청남도,116625.5,4.1~6,44230
충청남도 보령시,6.059288251069073,5.248500428449015,4.472469737107246,4.578158904816998,4.076012117873864,인구감소지역,충청남도,99852.5,2~4,44180
충청남도 부여군,4.173485503569617,3.799276397357908,3.091008110216518,2.7850982271202684,2.552307010438477,인구감소지역,충청남도,65431.0,2~4,44760
충청남도 서천군,4.041379433670413,3.886280883674896,3.79464492304275,3.1981832805033825,3.2805549927152384,인구감소지역,충청남도,51820.5,2~4,44770
충청남도 예산군,3.863647478847753,3.963851667186039,3.2156764225599797,3.743613092527951,3.1637665473316123,인구감소지역,충청남도,78071.5,2~4,44810
충청남도 청양군,4.165702383707475,3.7141059287566955,3.3997311121756733,3.2702859927990815,2.954968844350228,인구감소지역,충청남도,31134.0,2~4,44790
충청남도 태안군,5.563678033745604,4.283262208084658,4.242385867156335,3.4684760283551914,3.513267419279458,인구감소지역,충청남도,62050.5,2~4,44825
충청북도 괴산군,3.113607763262023,3.3088615448247336,2.6054094491235764,2.8851850897756255,2.0016423732293163,인구감소지역,충청북도,38968.0,2~4,43760
충청북도 단양군,3.6997274754314975,3.065644785071643,3.478144543660747,3.200862548223521,2.5392032391998076,인구감소지역,충청북도,29143.0,2~4,43800
충청북도 보은군,5.452321657505784,5.143591941705958,5.302353291629431,3.0887563213517852,3.4565234164030554,인구감소지역,충청북도,32402.5,2~4,43720
충청북도 영동군,4.538487568923303,5.978684689368339,5.746257371843338,4.523960614931117,4.5248394834141585,인구감소지역,충청북도,47736.5,4.1~6,43740
충청북도 옥천군,5.281265961855382,4.0514083005408335,3.3589157732341284,3.5010768761739914,3.5132291935451856,인구감소지역,충청북도,50381.0,2~4,43730
충청북도 제천시,6.585852612905611,5.610139589131093,5.594706148248598,5.035396975777875,4.605572592327809,인구감소지역,충청북도,132882.5,4.1~6,43150
