행정구역(시군구)별,20~39세 여성 인구수,65세이상 인구수,소멸위험지수,2021년 총인구수,2011년 총인구수,인구성장률,2016년 총인구수,인구성장률
　　　공주시,"9,248","27,890",0.33158838,103222,123848,-1.821690,109695,-1.216436
　　　보령시,"7,978","26,370",0.30254077,98744,105995,-0.708566,103478,-0.936471
　　　아산시,"38,798","43,151",0.89912169,318708,267976,1.733763,298313,1.322643
　　　서산시,"17,386","32,983",0.52712003,175453,160172,0.911201,169610,0.677333
　　　논산시,"9,741","31,222",0.31199154,114819,126224,-0.947055,122493,-1.294025
　　　계룡시,"4,472","5,292",0.84504913,42924,42849,0.017488,42010,0.430236
　　　당진시,"16,089","31,759",0.50658081,165943,-,,165005,0.113311
　　　금산군,"3,302","16,198",0.20385233,50643,55813,-0.972067,54267,-1.382503
　　　부여군,"4,144","22,816",0.18160501,64137,73745,-1.395996,69966,-1.739773
　　　서천군,"3,006","19,050",0.15779528,50937,59256,-1.512788,55922,-1.867383
　　　청양군,"1,928","11,138",0.17305620,30560,32194,-0.520881,32408,-1.173958
　　　홍성군,"9,199","24,184",0.38035478,99198,87373,1.269322,96518,0.547666
　　　예산군,"5,503","24,830",0.22162706,77011,86092,-1.114747,81788,-1.203775
　　　태안군,"4,148","19,671",0.21086879,61516,62510,-0.160294,63268,-0.561652
　　　완산구,"42,996","54,718",0.78576520,336379,358489,-0.636596,362028,-1.469691
　　　덕진구,"41,036","45,544",0.90101880,318432,281940,1.217147,286827,2.090629
　　　군산시,"27,339","51,269",0.53324621,264799,271692,-0.256981,275578,-0.798031
　　　익산시,"29,371","56,728",0.51775137,278554,306228,-0.947180,299182,-1.428770
　　　정읍시,"8,620","30,142",0.28596311,106740,120058,-1.175795,114413,-1.388381
　　　남원시,"6,295","22,880",0.27510927,79729,87072,-0.880962,84042,-1.053666
　　　김제시,"6,085","26,411",0.23039643,81168,92782,-1.337262,87391,-1.477424
　　　완주군,"8,267","21,707",0.38084489,90960,84229,0.768806,94804,-0.827835
　　　진안군,"1,605","8,941",0.17951012,25059,27807,-1.040547,25940,-0.690677
　　　무주군,"1,515","8,090",0.18720643,23811,25600,-0.724657,24978,-0.956975
　　　장수군,"1,409","7,615",0.18502955,21823,23200,-0.611878,23341,-1.344940
　　　임실군,"1,650","9,986",0.16518125,26877,30480,-1.258020,30046,-2.229545
