인구수,사망률,고령화비율,전체 가구수,산림면적(ha),고용률,경제활동인구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,3차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률
158634,980.2,24.14299583,71424,106975,61.7,175.2,10.94973335,4.576572488,0.3706737231,43,1.134687394,11.28383575,0,0.1891145656,0.1891145656,0.4412673197,2.647603918,26.14,13.54,60.39,4.9948,14.8,13.53644432,10.6,-1.4983
36484,1534.9,36.9970398,17206,60224,63.4,39.3,7.559478127,4.13880057,0.3960246426,50,0.822278259,13.70463765,0,0,0.274092753,0.548185506,2.192742024,37.95,10.26,51.54,38.2456,15.8,31.84551036,8.8,-1.8015
16667,1584,36.74926501,7725,69839,71.5,20.7,7.283854323,3.119937601,0.3741100324,2,0.5999880002,10.799784,0,0,0.5999880002,0,1.199976,40.98,7.8,51.22,40.4167,13.8,60.97878285,6.1,-1.4733
103452,1023.7,26.62490817,45970,41154,59,109.1,10.19313305,3.499207362,0.3411572765,10,0.7733054943,11.01960329,0,0.09666318679,0.3866527472,0.3866527472,2.513242857,23.22,19.1,57.87,0.478,9.3,8.218751311,11.5,-1.4328
101506,1183.2,27.61708667,45647,62185,67.3,121.9,8.793568853,5.6154316,0.3592788135,16,0.7881307509,12.51157567,0,0.09851634386,0.09851634386,0.2955490316,3.645104723,36.09,22.64,41.35,26.582,14,10.91031905,15.4,0.3695
48710,1190.7,27.55696982,22006,84811,62,52.3,9.620201191,4.249640731,0.3803508134,0,1.231779922,10.88072264,0,0,0.2052966537,0.4105933073,1.847669883,21.33,13.11,65.56,61.3473,18.5,17.69830803,10.7,-1.4934
51647,1804.6,40.81747246,24312,82111,72.8,64.4,5.876430383,4.375859198,0.3843369529,48,0.5808662652,14.52165663,0,0,0.5808662652,1.16173253,1.548976707,57.7,7.78,34.68,24.7115,14.7,25.20056471,8.9,-1.0772
42278.5,1554,37.13471386,19004,49605,71.4,52.9,6.194637937,2.649100607,0.3652915176,9,0.9461073595,13.48202987,0,0,0.4730536798,1.182634199,2.838322079,52.85,10.27,36.88,19.4624,20.4,23.45390071,10.3,-0.7551
25051.5,1568.8,36.67644652,11797,69007,79.7,33.9,6.223180249,3.113586013,0.3840806985,20,0,14.76957468,0,0,0,0,3.592599246,45.27,5.62,49.11,37.4562,14.9,111.3680745,7.8,-1.2169
145124,939.2,22.7185028,69654,408,50.5,137.9,7.726495962,3.335078967,0.4295087145,2,0.9646922632,13.3678785,0.1378131805,0.1378131805,0.4134395414,0.620159312,4.203302004,0.9,20.3,78.87,4.6944,6.5,0.2340630593,11,-1.6045
170922.5,830.2,21.74377276,75132,198,52.4,163.7,7.417981834,2.369494947,0.3429963265,7,0.7605786248,12.11075195,0,0.05850604806,0.4095423364,0.5850604806,4.036917316,1.02,34.89,64.03,2.0157,2.9,0.1143187067,13.7,-3.8235
86801,962,25.55730925,40501,272,50.4,82.3,7.301759196,3.997649797,0.3829041258,5,1.267266506,14.97678598,0,0.345618138,0.5760302301,0.5760302301,4.838653933,0.13,18.24,81.51,1.3003,11.6,0.2346182709,15.8,-0.2584
105948,987.3,24.45916865,47829,683,51.5,100.6,8.484350814,3.388454714,0.3843693157,4,0.8494733265,10.19367992,0.1887718503,0.1887718503,0.1887718503,0.566315551,3.020349605,1.15,18.08,80.77,2.9749,10.2,0.2326072445,12.2,-1.0882
113042.5,1073.9,26.61653803,51276,387,47.5,99.9,7.806798328,2.556560586,0.3719673922,0,0.619236128,9.996240352,0,0.176924608,0.176924608,0.44231152,2.830793728,1.25,23.82,74.92,3.5959,10.9,0.06890326302,9.1,-2.6819
68662,1316.6,32.37161749,28145,17682,67.2,78.9,8.119483848,4.558562232,0.2876176941,0,0.5825638636,10.34050858,0,0.1456409659,0.1456409659,0.4369228977,2.47589642,32.95,15.44,51.74,33.9357,14.5,10.21691147,14.5,0.4357
20366.5,957.5,25.978936,8867,12173,79.5,24.4,7.374855768,3.928019051,0.410510883,0,0.4910023814,12.27505953,0,0,0.4910023814,0,0.4910023814,16.67,8.33,75,22.1655,17.1,16.04666491,9,-1.0661
