소재지(시군구)별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
소재지(시군구)별(2),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명)
통영시,140195,139347,139719,139439,139168,138160,135833,133720,131404,128293,125383
사천시,114133,115321,116851,116485,115452,114912,114252,113888,111925,111105,109953
김해시,507062,513260,522049,527240,528865,529422,532132,533672,542455,542338,537673
밀양시,109329,108755,108342,107765,107896,108354,107898,106744,105552,104831,103525
거제시,232787,236944,242077,248287,255828,257183,254073,250516,248276,245754,241216
양산시,266403,270460,279565,292376,301291,317037,338535,348639,350759,352229,354726
의령군,30045,30329,29417,29209,28544,28111,27849,27667,27168,26800,26322
함안군,66971,67425,67667,68741,69156,68937,68207,67025,65700,64182,62547
창녕군,62490,62966,63447,63502,63817,63982,64101,63396,62331,61301,60129
고성군,57264,56906,56369,55916,55284,54703,54060,53243,52276,51361,50478
남해군,50242,48223,47244,46638,45865,45129,44642,43990,43622,42958,42266
하동군,53975,50806,50177,49223,50259,49622,48831,47533,46574,44785,43449
산청군,35651,35691,35935,35849,36071,36098,36340,35952,35417,34857,34360
함양군,41081,40714,40692,40584,40339,40241,40175,40044,39637,39080,38310
거창군,63146,63103,63177,63137,63232,63308,62763,62455,62179,61502,61073
합천군,50608,50279,50290,50457,49145,48026,47000,45916,45204,44006,42935
