sigungu,sum,상급종합병원,종합병원,병원,요양병원,한의원,pop,인구감소지수 분류,sido,전체,삼차,이차,일차,요양,한의,sig_cd
부산광역시 영도구,113,0,2,2,5,32,113042.5,인구감소지역,부산광역시,9.99624035207997,0.0,0.1769246080014154,0.1769246080014154,0.4423115200035385,2.8307937280226465,26200
인천광역시 강화군,71,0,1,1,3,17,68662.0,인구감소지역,인천광역시,10.34050857825289,0.0,0.1456409658908858,0.1456409658908858,0.4369228976726574,2.4758964201450584,28710
인천광역시 옹진군,25,0,0,1,0,1,20366.5,인구감소지역,인천광역시,12.27505953403874,0.0,0.0,0.4910023813615496,0.0,0.4910023813615496,28720
전라남도 강진군,49,0,0,1,1,8,34647.5,인구감소지역,전라남도,14.142434519085072,0.0,0.0,0.2886211126343892,0.2886211126343892,2.3089689010751138,46810
전라남도 고흥군,96,0,1,3,1,15,64022.0,인구감소지역,전라남도,14.994845521851865,0.0,0.15619630751929023,0.46858892255787077,0.15619630751929023,2.3429446127893536,46770
전라남도 곡성군,44,0,0,1,1,5,28267.0,인구감소지역,전라남도,15.565854176247923,0.0,0.0,0.3537694130965437,0.3537694130965437,1.7688470654827182,46720
전라남도 구례군,41,0,0,1,3,7,25985.0,인구감소지역,전라남도,15.77833365403117,0.0,0.0,0.38483740619588225,1.1545122185876466,2.6938618433711756,46730
전라남도 담양군,66,0,0,1,6,10,46033.5,인구감소지역,전라남도,14.337384730685262,0.0,0.0,0.21723310198007972,1.3033986118804783,2.1723310198007972,46710
전라남도 보성군,66,0,0,2,4,10,40543.5,인구감소지역,전라남도,16.278811646749787,0.0,0.0,0.49329732262878145,0.9865946452575629,2.466486613143907,46780
전라남도 신안군,62,0,0,2,2,6,39200.5,인구감소지역,전라남도,15.816124794326603,0.0,0.0,0.5101975740105356,0.5101975740105356,1.530592722031607,46910
전라남도 영광군,72,0,2,0,1,14,52970.0,인구감소지역,전라남도,13.592599584670568,0.0,0.37757221068529356,0.0,0.18878610534264678,2.6430054747970546,46870
전라남도 영암군,65,0,0,2,1,14,53651.0,인구감소지역,전라남도,12.1153380179307,0.0,0.0,0.3727796313209446,0.1863898156604723,2.6094574192466125,46830
