sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
경상북도 영주시,0.26929147769420300,5.31077066186306E-05,0.00026553853309315300,0.0016522397614685100,45970,인구감소지역
경상북도 영천시,0.26460619779918100,0.00010031455694630200,0.0003835556589123320,0.00426631909836332,45647,인구감소지역
경상북도 울릉군,0.024287924493587000,0.00012659710651810200,2.95042814547947E-05,0.0004543659344038390,4199,인구감소지역
경상북도 울진군,0.12808988750784600,0.00012659710651810200,0.00011211626952822000,0.001634537192595630,22006,인구감소지역
경상북도 의성군,0.14232275288163900,2.95042814547947E-05,0.00019472825760164500,0.0009146327250986370,24312,인구감소지역
경상북도 청도군,0.11106001625213800,3.54051377457537E-05,0.0001888274013106860,0.0008556241621890480,19004,인구감소지역
경상북도 청송군,0.06917573829891180,0.00012659710651810200,8.85128443643843E-05,0.00034224966487561900,11797,인구감소지역
대구광역시 남구,0.4078671868310830,8.26119880734253E-05,0.00023603425163835800,0.002832411019660300,69654,인구감소지역
대구광역시 서구,0.4372357485911850,5.90085629095895E-05,0.00020652997018356300,0.00584184772804936,75132,인구감소지역
부산광역시 동구,0.23471245982918300,9.44137006553432E-05,7.67111317824664E-05,0.004106995978507430,40501,인구감소지역
부산광역시 서구,0.278880369167011,8.85128443643843E-05,0.00019472825760164500,0.0030684452712986500,47829,인구감소지역
부산광역시 영도구,0.3000113355449350,0.00014162055098301500,0.00011801712581917900,0.0023013339534739900,51276,인구감소지역
인천광역시 강화군,0.16420312800851500,0.00010031455694630200,0.0003068445271298650,0.0014693132164487800,28145,인구감소지역
인천광역시 옹진군,0.051632492545890800,0.00012659710651810200,0.0002654050295571580,0.0006490941920054840,8867,인구감소지역
전라남도 강진군,0.08998805843712400,0.00012659710651810200,0.00011801712581917900,0.0007435078926608280,15398,인구감소지역
전라남도 고흥군,0.1741932777091080,3.54051377457537E-05,0.00013571969469205600,0.0017879594561605600,29852,인구감소지역
전라남도 곡성군,0.0748759654759781,4.72068503276716E-05,9.44137006553432E-05,0.000708102754915074,12833,인구감소지역
전라남도 구례군,0.06496252690716710,0.00012659710651810200,7.08102754915074E-05,0.0003894565152032910,11089,인구감소지역
전라남도 담양군,0.1064160423511540,0.00012659710651810200,0.0001888274013106860,0.0015578260608131600,18333,인구감소지역
전라남도 보성군,0.10540109506910900,4.13059940367127E-05,0.00011801712581917900,0.0005369779224772650,17980,인구감소지역
전라남도 신안군,0.09879213602323470,7.08102754915074E-05,0.0001298188384010970,0.001304089240301930,16997,인구감소지역
전라남도 영광군,0.12852065001708600,5.31077066186306E-05,0.0001770256887287690,0.001669942330341380,22102,인구감소지역
전라남도 영암군,0.13887075195142800,8.26119880734253E-05,0.00019472825760164500,0.010184877958195100,25307,인구감소지역
전라남도 완도군,0.12529878248222200,0.00010621541323726100,7.67111317824664E-05,0.004372534511600580,22006,인구감소지역
전라남도 장성군,0.1020317061269710,0.00012659710651810200,0.00017112483243781000,0.001540123491940290,17583,인구감소지역
전라남도 장흥군,0.09726971510016730,0.00012659710651810200,8.85128443643843E-05,0.0008438224496071300,16646,인구감소지역
전라남도 진도군,0.07907147429884990,4.13059940367127E-05,4.72068503276716E-05,0.0027616007441687900,13883,인구감소지역
전라남도 함평군,0.07988579246700230,0.00012659710651810200,0.0002006291138926040,0.0008615250184800070,13720,인구감소지역
전라남도 해남군,0.17130775898282900,3.54051377457537E-05,0.00015932311985589200,0.0027793033130416700,29535,인구감소지역
전라남도 화순군,0.14954540098177300,0.00012659710651810200,0.00020652997018356300,0.0013571969469205600,25608,인구감소지역
전라북도 고창군,0.13874093311302700,0.00012659710651810200,0.00014162055098301500,0.0017997611687424800,23845,인구감소지역
전라북도 김제시,0.20474201072740300,4.72068503276716E-05,0.00028914195825698900,0.0029091221514427600,35247,인구감소지역
전라북도 남원시,0.20047569162903900,0.00012659710651810200,0.00015932311985589200,0.001923679150852620,34331,인구감소지역
전라북도 무주군,0.061776064510049200,0.00012659710651810200,6.49094192005484E-05,0.0003481505211665780,10539,인구감소지역
전라북도 부안군,0.13189003895922300,0.00012659710651810200,0.00011801712581917900,0.0012745849588471300,22591,인구감소지역
전라북도 순창군,0.06872727322079890,0.00012659710651810200,0.00010031455694630200,0.0005074736410224700,11750,인구감소지역
전라북도 임실군,0.07250972210330360,0.00012659710651810200,7.08102754915074E-05,0.0004661676469857570,12380,인구감소지역
전라북도 장수군,0.05536773457806780,0.00012659710651810200,5.90085629095895E-05,0.0006077881979687720,9497,인구감소지역
전라북도 정읍시,0.2712623636953830,5.90085629095895E-05,0.00035995223374849600,0.00477379273938579,46850,인구감소지역
전라북도 진안군,0.06298574004969580,0.00012659710651810200,7.08102754915074E-05,0.0005192753536043880,10774,인구감소지역
충청남도 공주시,0.2724130306721200,0.00017112483243781000,0.0003835556589123320,0.004260418242072360,46981,인구감소지역
충청남도 금산군,0.1372362147588320,0.0005310770661863060,0.00018292654501972700,0.00427221995465428,24102,인구감소지역
충청남도 논산시,0.2958630335723910,4.13059940367127E-05,0.0004897710721495930,0.00927024523309651,51800,인구감소지역
충청남도 보령시,0.2502966212936060,8.85128443643843E-05,0.0002242325390564400,0.004195508822871810,43181,인구감소지역
충청남도 부여군,0.16718306043544900,2.95042814547947E-05,0.00021833168276548100,0.0017525543184148100,28671,인구감소지역
충청남도 서천군,0.13448051487095400,3.54051377457537E-05,0.0001534222635649330,0.001894174869397820,23143,인구감소지역
충청남도 예산군,0.19871133559804300,5.31077066186306E-05,0.0003186462397117830,0.004425642218219210,34488,인구감소지역
충청남도 청양군,0.0798503873292565,0.00012659710651810200,0.00010031455694630200,0.0011329644078641200,13745,인구감소지역
충청남도 태안군,0.16524167871572300,3.54051377457537E-05,0.0001298188384010970,0.0028914195825698900,28521,인구감소지역
충청북도 괴산군,0.10744869220207200,8.85128443643843E-05,0.00013571969469205600,0.0013158909528838500,18470,인구감소지역
충청북도 단양군,0.07544244767991020,0.00012659710651810200,9.44137006553432E-05,0.0002596376768021940,12845,인구감소지역
충청북도 보은군,0.08441765009845870,0.00012659710651810200,0.00011801712581917900,0.0008025164555704170,14464,인구감소지역
충청북도 영동군,0.1238235684094830,0.0002242325390564400,0.00021833168276548100,0.0014398089349939800,21303,인구감소지역
충청북도 옥천군,0.1222716432049600,0.00012659710651810200,0.00014162055098301500,0.0011152618389912400,20937,인구감소지역
충청북도 제천시,0.35216310344443000,4.72068503276716E-05,0.0002714393893841120,0.002590475911730980,60173,인구감소지역
