sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
경기도 시흥시,1.1378798211544872,0.00034224966487561906,0.0004956719284405518,0.12318037507376808,213850,안심지역
경기도 안성시,0.456537449518912,0.0002714393893841117,0.0007376070363698687,0.03179971455197778,82928,안심지역
경기도 양주시,0.511309197611593,0.00013571969469205585,0.0007376070363698687,0.012905172708327223,88985,안심지역
경기도 양평군,0.2805503114973523,8.851284436438425e-05,0.00036585309003945486,0.0033988932235923556,48197,안심지역
경기도 여주시,0.2610184771742782,0.0002006291138926043,0.00043076250924000336,0.006585355620710188,45457,안심지역
경기도 연천군,0.10629802522533452,8.26119880734253e-05,0.00012391798211013795,0.001882373156815905,18368,인구감소지역
경기도 영통구,0.8400104964431703,0.00020652997018356323,0.00012391798211013795,0.020753311575302625,145927,안심지역
경기도 오산시,0.5423418008457461,0.00019472825760164536,0.00019472825760164536,0.03753534686678988,98336,안심지역
경기도 의왕시,0.3507705013597638,5.3107706618630557e-05,0.00014752140727397375,0.002619980193185774,59922,안심지역
경기도 의정부시,1.0507477771621874,0.0001298188384010969,0.0004602667906947981,0.012887470139454347,180351,안심지역
경기도 이천시,0.4922199275103408,0.0001888274013106864,0.0007022018986241151,0.01563136831475026,86215,안심지역
경기도 일산동구,0.663114626552803,0.0001298188384010969,0.0004897710721495929,0.011424057779296526,114417,안심지역
경기도 일산서구,0.6225816446902059,4.130599403671265e-05,0.00013571969469205585,0.009748214592664185,107189,안심지역
경기도 장안구,0.6161556121893517,0.0001888274013106864,0.0002950428145479475,0.021721052007019896,108181,안심지역
경기도 중원구,0.5294307272811279,0.00015932311985589166,0.00013571969469205585,0.010432713922415423,91539,안심지역
경기도 처인구,0.592103721947403,0.0004897710721495929,0.0006549950482964435,0.022623883019536613,104370,안심지역
경기도 파주시,1.0085979606758677,0.00021243082647452223,0.0008733267310619247,0.02157353059974592,174764,안심지역
경기도 팔달구,0.44897255175390266,0.00021243082647452223,0.0002006291138926043,0.05149677285119876,84883,안심지역
