시군구,SIG_CD,SIG_KOR_NM,인구수,사망률,고령화비율,전체 가구수,산림면적(ha),고용률,경제활동인구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,3차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률,시도,총가구수,cluster
경상북도 문경시,47280,문경시,71266.5,1202.5,29.55806725,30839,70256,60.6,75.9,9.304511938,4.588411105,0.3470281138,23,0.5612735296,12.48833603,0.0,0.1403183824,0.2806367648,0.1403183824,2.525730883,28.07,13.9,58.03,43.5487,12.1,18.53681189,11.3,-1.1218,경상북도,30839,0
경상북도 안동시,47170,안동시,158634.0,980.2,24.14299583,71424,106975,61.7,175.2,10.94973335,4.576572488,0.3706737231,43,1.134687394,11.28383575,0.0,0.1891145656,0.1891145656,0.4412673197,2.647603918,26.14,13.54,60.39,4.9948,14.8,13.53644432,10.6,-1.4983,경상북도,71424,0
경상북도 영주시,47210,영주시,103452.0,1023.7,26.62490817,45970,41154,59.0,109.1,10.19313305,3.499207362,0.3411572765,10,0.7733054943,11.01960329,0.0,0.09666318679,0.3866527472,0.3866527472,2.513242857,23.22,19.1,57.87,0.478,9.3,8.218751311,11.5,-1.4328,경상북도,45970,0
경상북도 영천시,47230,영천시,101506.0,1183.2,27.61708667,45647,62185,67.3,121.9,8.793568853,5.6154316,0.3592788135,16,0.7881307509,12.51157567,0.0,0.09851634386,0.09851634386,0.2955490316,3.645104723,36.09,22.64,41.35,26.582,14.0,10.91031905,15.4,0.3695,경상북도,45647,0
경상북도 울진군,47930,울진군,48710.0,1190.7,27.55696982,22006,84811,62.0,52.3,9.620201191,4.249640731,0.3803508134,0,1.231779922,10.88072264,0.0,0.0,0.2052966537,0.4105933073,1.847669883,21.33,13.11,65.56,61.3473,18.5,17.69830803,10.7,-1.4934,경상북도,22006,0
인천광역시 강화군,28710,강화군,68662.0,1316.6,32.37161749,28145,17682,67.2,78.9,8.119483848,4.558562232,0.2876176941,0,0.5825638636,10.34050858,0.0,0.1456409659,0.1456409659,0.4369228977,2.47589642,32.95,15.44,51.74,33.9357,14.5,10.21691147,14.5,0.4357,인천광역시,28145,0
전라남도 영광군,46870,영광군,52970.0,1238.4,28.68604871,22102,20632,69.7,57.8,10.89862186,10.53426468,0.3453986065,10,0.3775722107,13.59259958,0.0,0.3775722107,0.0,0.1887861053,2.643005475,36.65,14.49,49.04,29.6754,15.3,4.388256013,10.5,-1.152,전라남도,22102,0
전라남도 영암군,46830,영암군,53651.0,1137.0,26.24182215,25307,22487,69.7,69.6,10.84043168,5.312109746,0.3603745999,17,0.559169447,12.11533802,0.0,0.0,0.3727796313,0.1863898157,2.609457419,32.7,25.73,41.72,23.8725,21.8,2.190799364,13.0,-1.4998,전라남도,25307,0
전라남도 장성군,46880,장성군,44714.5,1183.1,29.31487549,17583,31745,67.6,47.0,10.05490389,5.81466862,0.3074560655,25,0.894564403,11.62933724,0.0,0.0,0.4472822015,0.4472822015,1.789128806,39.52,16.41,44.28,18.3214,16.7,2.922111395,11.8,-0.9014,전라남도,17583,0
전라북도 남원시,45190,남원시,80653.5,1232.4,27.61690441,34331,46955,66.0,90.9,10.60462348,4.723911548,0.332177915,40,0.6199358986,15.62238465,0.0,0.1239871797,0.1239871797,0.4959487189,2.603730774,31.58,14.06,54.13,2.6895,12.9,15.32098866,9.1,-1.0639,전라북도,34331,0
