SIG_CD,SIG_KOR_NM,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률,시도,시군구
45720,진안군,8.300309536,5.441533093,0.3466679042,30,0.7886279845,15.77255969,0,0,0.7886279845,0,1.971569961,42.21,10.03,24.4325,11.3,94.63607521,7.1,-0.6537,전라북도,전라북도 진안군
44150,공주시,9.383150071,4.337151428,0.359421894,30,0.7642557582,13.66107168,0,0.09553196977,0.09553196977,0.7642557582,3.152555003,29,19.14,12.8162,13,9.992680695,12.5,-1.248,충청남도,충청남도 공주시
44710,금산군,9.34148288,3.601113425,0.3644095926,8,0.778619119,14.4044537,0,0,0.1946547797,0.5839643392,3.309131256,35.44,19.11,24.9441,13.3,13.69227687,12.6,-1.4977,충청남도,충청남도 금산군
44230,논산시,10.44968725,4.184333615,0.3391119691,3,0.9431899542,14.3193384,0,0.08574454129,0.1714890826,0.8574454129,3.172548028,31.21,18.3,2.2691,11.9,4.662331045,11.4,-1.3538,충청남도,충청남도 논산시
44180,보령시,10.32222528,4.076012118,0.3183112943,5,1.101624897,11.81743071,0,0.1001477179,0.2002954358,0.2002954358,2.904283819,20.75,19.47,43.3527,12.7,10.87905216,13.6,-0.8888,충청남도,충청남도 보령시
44760,부여군,7.935076646,2.55230701,0.3347633497,13,0.4584982653,13.44928245,0,0,0.1528327551,0.4584982653,2.139658572,45.91,11.21,17.8964,12.2,7.28197517,9.1,-1.7678,충청남도,충청남도 부여군
44770,서천군,7.641763395,3.280554993,0.3390225986,12,0.7718952924,15.0519582,0,0,0.1929738231,0.7718952924,2.701633523,33.82,15.7,27.6942,17.5,6.303877907,10.1,-1.9042,충청남도,충청남도 서천군
44810,예산군,8.210422497,3.163766547,0.3208362329,11,0.7685262868,11.78406973,0,0.1280877145,0.2561754289,0,2.561754289,38.28,18.65,26.3595,15.1,6.656996012,12.7,-1.0158,충청남도,충청남도 예산군
44790,청양군,6.957024475,2.954968844,0.3425973081,7,0.6423845314,13.49007516,0,0,0,0.6423845314,2.24834586,54.13,10.55,29.8399,11.5,52.85520111,10.2,-1.4072,충청남도,충청남도 청양군
44825,태안군,8.563992232,3.513267419,0.3554924442,0,0.9669543356,10.9588158,0,0,0.1611590559,0.1611590559,2.095067727,42.24,8.47,71.9992,14.8,6.427400355,13,-0.6663,충청남도,충청남도 태안군
43760,괴산군,6.053685075,2.001642373,0.4089875474,20,0.5132416342,12.31779922,0,0,0.5132416342,0,1.283104085,44.86,15.64,20.9168,8.4,49.96299216,8.6,0.2683,충청북도,충청북도 괴산군
43800,단양군,7.480355488,2.539203239,0.3620085636,25,1.029406719,12.35288062,0,0,0,0.3431355729,1.715677864,25.79,16.35,2.3648,15.2,18.01856647,11.6,-1.1236,충청북도,충청북도 단양군
43720,보은군,7.693850783,3.456523416,0.3512859513,18,0.6172363244,16.04814443,0,0,0.3086181622,0.9258544865,2.468945297,42.31,16.92,31.8634,15.6,22.44329554,9.5,-1.3486,충청북도,충청북도 보은군
43740,영동군,8.341625381,4.524839483,0.3602778951,17,0.6284499283,15.29228159,0,0,0.2094833094,0.6284499283,3.142249641,43.45,12.52,35.8983,13.1,21.13531811,8.1,-1.5577,충청북도,충청북도 영동군
43730,옥천군,9.037137016,3.513229194,0.2933562593,25,0.7939501002,14.48958933,0,0.1984875251,0,0.5954625752,2.977312876,29.42,19.86,12.7339,11.7,63.38442818,11.4,-0.8429,충청북도,충청북도 옥천군
43150,제천시,10.92920437,4.605572592,0.360709953,6,1.27932572,11.43867703,0,0.1505089082,0.07525445412,0.4515267247,2.709160348,13.27,23.31,1.2238,11.6,11.10951131,15.3,-0.647,충청북도,충청북도 제천시
